,code,date,close,open,low,high,volume,avg_price,turnover_rate
469663,002106,20170922,35.423948,35.492334,34.808474,35.629106,9370869.0,35.15177172,1.3319
469664,002108,20170922,182.71012,183.7984,182.22644000000005,185.97496,20129685.0,183.9749432,1.9271
469665,002123,20170922,80.7092,81.51629199999999,79.90210800000001,82.103268,6043401.0,80.96453456,1.0336
469666,002124,20170922,67.95212,67.80439799999999,67.13964899999999,68.173703,4552103.0,67.71059453,1.192
469667,002125,20170922,32.907658,33.446707,32.548292,33.446707,11299455.0,32.98877204,5.0759
469668,002126,20170922,55.117545,54.900333,54.574515000000005,55.226151,7610931.0,54.84005667,1.2485
469669,002130,20170922,135.379618,135.58137599999998,133.76555399999998,136.18665,9433576.0,134.76627367999998,1.0378
469670,002135,20170922,26.760672000000003,26.915537,26.605807,27.349159,13853592.0,26.926067820000004,2.064
469671,002139,20170922,129.546788,128.363221,127.394848,131.80632500000002,10393912.0,129.63178963,2.0036
469672,002145,20170922,19.23,19.23,19.08,19.35,20128875.0,19.224,1.8505
469673,002151,20170922,163.11022,161.14434,160.1614,164.03534000000002,8442119.0,162.4794038,3.6135
469674,002158,20170922,61.355349,61.355349,60.79451400000001,61.766628,7378696.0,61.28206656,1.3912
469675,002163,20170922,37.262963000000006,37.123052,36.843230000000005,37.496148,4512887.0,37.16082797,0.5617
469676,002171,20170922,43.794575,46.212529,43.399807,46.212529,15002719.0,44.48073113,3.6042
469677,002174,20170922,75.260912,76.555856,74.70593600000001,76.555856,5833528.0,75.47796928,1.063
469678,002176,20170922,193.903145,199.594765,191.574755,200.370895,140437446.0,196.34407385,10.1717
469679,002182,20170922,36.511104,37.332288,36.3216,37.553376,28952832.0,36.83389248,6.4235
469680,002190,20170922,74.427792,75.45275099999999,74.11242,75.846966,4956275.0,74.66852596,1.4358
469681,002191,20170922,56.782186,58.285584,56.550894,58.285584,13794346.0,57.05915817,1.059
469682,002194,20170922,29.010709,26.802386,26.620880000000003,29.010709,36414612.0,27.89595965,6.9825
469683,002201,20170922,41.128496000000005,42.02912,40.603132,42.02912,3757410.0,41.14275588,1.203
469684,002204,20170922,19.240464,19.429096,19.193306,19.429096,7247747.0,19.29846834,0.3753
469685,002206,20170922,65.38064,65.19058,65.09555,66.04585,7067395.0,65.4310059,0.7436
469686,002212,20170922,57.160299,56.511119,56.511119,57.971774,5290450.0,57.34856119999999,2.2862
469687,002214,20170922,34.134282,34.426027999999995,34.009248,34.59274,5379263.0,34.19513187999999,1.5138
469688,002215,20170922,62.408936,62.484675,62.10598,62.711892,7410990.0,62.34834479999999,1.0436
469689,002216,20170922,69.912519,70.824782,69.497854,70.90771500000001,3814000.0,69.9705721,0.6683
469690,002217,20170922,62.531096,62.69979500000001,62.137465000000006,63.374591,8321718.0,62.82013362000001,0.4733
469691,002218,20170922,28.790132,29.394505,28.515417000000003,29.504391,38988398.0,29.01484887,3.2081
469692,002219,20170922,192.374085,191.400039,189.451947,192.86110800000003,2788699.0,191.6760187,0.3043
469693,002222,20170922,45.39342,44.495810000000006,43.5982,45.444712,23761714.0,44.65814918,5.6382
469694,002226,20170922,62.99110499999999,63.346485,62.813415,63.346485,3729604.0,62.9893281,0.4714
